date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-02-05,9.1,8.2,9.6,,,271,25.8,61.1,1009.6,
2024-02-06,9.4,8.4,10.3,,,250,27,59.3,1004.7,
2024-02-07,5.3,1.6,9.4,,,279,18.5,57.4,1001.1,
2024-02-08,1.7,-0.6,4.3,,,183,7.9,22.2,1002,
2024-02-09,3.9,1.4,6.9,,,114,14.1,35.2,992.4,
2024-02-10,8.8,6.6,11.6,,,121,10.7,29.6,991.6,
2024-02-11,8,7.5,9,,,51,13.4,31.5,991.2,
2024-02-12,7.5,5.8,8.6,,,278,16.2,37,1000.1,
2024-02-13,5.6,4,8.1,,,253,14.1,33.3,1015.9,
2024-02-14,6,3,8.9,,,201,13.7,29.6,1017.8,
2024-02-15,10.7,8.7,13,,,203,11.7,24.1,1017.3,
2024-02-16,12.2,8.8,15.8,,,190,15,31.5,1014.7,
2024-02-17,9.4,5.5,12.4,,,290,15.8,40.8,1026,
2024-02-18,6,2.1,9.5,,,173,12.4,29.6,1028.6,
2024-02-19,7.9,7.2,8.6,,,270,18.6,50,1017.9,
2024-02-20,7.7,7.2,8.2,,,275,16.5,40.8,1021.8,
2024-02-21,8.5,7.1,10.9,,,224,16,35.2,1015.5,
2024-02-22,9.5,7.9,11.5,,,188,18.5,42.6,995.1,
2024-02-23,8.4,4.8,10.6,,,207,18.1,46.3,994.6,
2024-02-24,6.1,1.9,11.1,,,189,12.4,35.2,1002.5,
2024-02-25,6.5,2.2,12.1,,,174,12.2,33.3,1006.2,
2024-02-26,5.9,1.7,10.4,,,74,12.4,29.6,1006.9,
2024-02-27,5.4,3.5,6.8,,,8,13.8,29.6,1015.4,
2024-02-28,4.2,1.1,6.5,,,287,9,22.2,1020.8,
2024-02-29,4.8,-0.5,10.5,,,148,13.6,31.5,1016.3,
2024-03-01,8.3,4.4,13.4,,,143,10.2,22.2,1007.2,
2024-03-02,9.2,7.6,12,,,140,9,22.2,1007,
2024-03-03,10.1,7.3,13.7,,,104,13.9,31.5,1005.8,
2024-03-04,9.3,6.3,13.2,,,73,12.7,27.8,1009.4,
2024-03-05,5.6,2.1,8.4,,,64,12.9,29.6,1016.2,
2024-03-06,4.6,0.9,8.1,,,59,10.2,24.1,1023.9,
2024-03-07,4.8,2.2,7.9,,,76,14.1,33.3,1026.6,
2024-03-08,3.7,-1,8.7,,,98,15.1,33.3,1021,
2024-03-09,5.4,1.1,9.6,,,108,17.6,37,1010.8,
2024-03-10,8.5,4.2,12.8,,,101,19.3,42.6,1003.9,
2024-03-11,10.2,6.5,13.6,,,160,14,37,1003.9,
2024-03-12,8.3,4.1,12.7,,,274,8.9,24.1,1013.3,
2024-03-13,8.7,4,13.4,,,219,10,25.9,1016.5,
2024-03-14,11.2,8.2,15,,,211,10.6,25.9,1014.1,
2024-03-15,11.7,7.6,16.6,,,203,13.1,31.5,1009.4,
2024-03-16,9.6,5.5,11.8,,,260,16.8,44.5,1013.5,
2024-03-17,4.9,2.5,8.1,,,319,14.3,35.2,1023.3,
2024-03-18,3.1,-1.1,7.5,,,96,12,25.9,1021.3,
2024-03-19,4.3,-0.9,9.5,,,130,11.7,25.9,1022.2,
2024-03-20,9.1,2.9,15.4,,,171,9.3,20.4,1020.4,
2024-03-21,10.8,8.7,13.5,,,256,11.9,33.3,1018.8,
2024-03-22,10,7.2,13.3,,,241,13.8,35.2,1015,
2024-03-23,6.5,4.2,9.2,,,288,12,37,1006.1,
2024-03-24,4.9,2.5,7,,,224,16.4,38.9,1001.1,
2024-03-25,5.9,2.7,8.5,,,272,13.7,35.2,1003.5,
2024-03-26,7.7,1.3,14.1,,,128,15.4,38.9,1000,
2024-03-27,11.7,5.6,17.8,,,124,15.7,33.3,988.9,
2024-03-28,10.5,8,13.7,,,212,17.6,51.8,989.1,
2024-03-29,10.2,6,14.4,,,191,15.6,38.9,1000,
2024-03-30,15.5,8.7,23.4,,,136,11.4,27.8,999.8,
2024-03-31,14.4,9.1,20.3,,,234,9.3,25.9,998.2,
2024-04-01,13,9,18.7,,,126,13,44.5,995.5,
2024-04-02,11.2,8.9,13.5,,,258,22,55.5,1002.7,
2024-04-03,9.4,8.3,11,,,244,13.7,38.9,1007,
2024-04-04,11,8.7,13.5,,,212,15.5,38.9,1007.9,
2024-04-05,13.7,9.2,18.4,,,221,16.7,42.6,1011.2,
2024-04-06,16.8,11.6,22.8,,,220,12.8,31.5,1014.7,
2024-04-07,18.2,12.8,23.2,,,206,12.7,31.5,1014.4,
2024-04-08,19.4,13.8,26.6,,,143,9,25.9,1010.9,
2024-04-09,18.7,13.4,26.3,,,198,14.7,48.2,1008.1,
2024-04-10,11.9,8.5,13.8,,,266,14.7,37,1024.1,
2024-04-11,11.5,5.8,16.2,,,224,13.3,37,1030.6,
2024-04-12,15,10.8,19.7,,,244,13.1,37,1028.9,
2024-04-13,16.9,11.9,21.2,,,251,15.5,42.6,1022.6,
2024-04-14,14.9,9.9,16.7,,,274,18.3,48.2,1016.5,
2024-04-15,10.2,7.1,13.4,,,234,11.7,42.6,1007.8,
2024-04-16,7.6,5.6,10,,,270,19,48.2,999.9,
2024-04-17,6.8,3.2,10.4,,,326,10.2,27.8,1007.6,
2024-04-18,6.5,2.3,10.6,,,336,10.2,29.6,1014.2,
2024-04-19,6.5,5,8,,,238,13.8,37,1006.2,
2024-04-20,5.5,3.2,7.5,,,1,15,42.6,1012.8,
2024-04-21,4.1,0.1,7.3,,,56,12.6,31.5,1023,
2024-04-22,2.7,-0.5,5.2,,,30,9,25.9,1024.5,
2024-04-23,4.1,-0.7,8,,,238,7.9,24.1,1019.4,
2024-04-24,5.7,2.2,9.6,,,170,9.2,27.8,1008.1,
2024-04-25,5,1.5,8.2,,,208,10,29.6,1005.1,
2024-04-26,8.7,3,14.1,,,184,13.1,35.2,1007.2,
2024-04-27,12.8,5,19.9,,,157,11.3,31.5,1010.8,
2024-04-28,16.4,9,23.6,,,142,14.5,33.3,1012.8,
2024-04-29,15.6,11.7,19.8,,,349,9,27.8,1021.5,
2024-04-30,19.7,11.6,27.6,,,102,16,38.9,1018,
2024-05-01,20.8,14.2,26.6,,,117,20.2,50,1011.4,
2024-05-02,20.6,14.6,26,,,111,20.1,48.2,1005.2,
2024-05-03,18.3,14.4,22.5,,,168,12,31.5,1008.5,
2024-05-04,15.9,12.2,19.4,,,277,9.1,24.1,1015.4,
2024-05-05,15.6,12.8,19.6,,,201,12.9,38.9,1009.2,
2024-05-06,14,9.3,18.3,,,286,11.1,29.6,1009,
2024-05-07,12.6,9.2,15.9,,,44,11.9,27.8,1016.9,
2024-05-08,13.3,8.7,17.5,,,54,11.6,27.8,1024.8,
2024-05-09,13.3,6,19.2,,,354,7.2,20.4,1026.1,
2024-05-10,15.8,10,20.8,,,307,7.6,22.2,1023.1,
2024-05-11,15.3,11,19.1,,,38,9.4,27.8,1022.5,
2024-05-12,15.3,9.6,20.3,,,92,15.1,33.3,1022.3,
2024-05-13,17.1,9.6,24,,,109,16.5,37,1017.5,
2024-05-14,18.8,11.2,25.5,,,108,17.3,40.8,1013.6,
2024-05-15,20.1,13.1,26.3,,,109,20.8,50,1012.1,
2024-05-16,20.2,14.1,25.9,,,113,22.9,57.4,1010.8,
2024-05-17,20,15.4,25.8,,,109,20.4,51.8,1010.3,
2024-05-18,16.6,13,20.1,,,106,12.6,33.3,1010.1,
2024-05-19,14.8,11.4,17.3,,,160,8.2,22.2,1009.6,
2024-05-20,16.2,11.6,20.9,,,133,7.7,24.1,1011.1,
2024-05-21,20.1,12.6,26.3,,,85,16.2,42.6,1010.3,
2024-05-22,19.6,15.6,23.7,,,130,13.2,33.3,1007.4,
2024-05-23,17.4,14.3,21.8,,,281,13.3,33.3,1013.4,
2024-05-24,18.1,12.7,22.6,,,81,11.2,31.5,1018.1,
2024-05-25,19,14.8,23.2,,,144,8.7,24.1,1017,
2024-05-26,19.4,14,24.2,,,146,9.6,29.6,1017.8,
2024-05-27,18.8,15.6,22,,,164,8.7,20.4,1016.8,
2024-05-28,15.9,11.9,17.5,,,242,9.8,25.9,1015.8,
2024-05-29,16,9.6,21.6,,,185,13.3,37,1013,
2024-05-30,16.5,13.1,20.8,,,153,9.1,25.9,1006.4,
2024-05-31,17.8,13.1,22.7,,,210,7.6,18.5,1007,
2024-06-01,19.8,15.6,23.8,,,16,12.9,35.2,1010,
2024-06-02,18.4,15.9,20.7,,,319,13.1,33.3,1014.1,
2024-06-03,15.6,13.4,18.1,,,290,14,29.6,1016.2,
2024-06-04,16.2,12.6,19.9,,,252,9.4,22.2,1013.9,
2024-06-05,15.9,12,19,,,239,12.8,33.3,1010.5,
2024-06-06,15.6,11.3,19.5,,,284,9.7,27.8,1016.2,
2024-06-07,15.4,11.2,19.2,,,312,9.9,29.6,1017.3,
2024-06-08,17.7,10,24.4,,,212,12.4,35.2,1011.4,
2024-06-09,15.6,11.2,19.7,,,280,13.6,35.2,1008.4,
2024-06-10,14,9.5,17.6,,,278,10.4,29.6,1006.4,
2024-06-11,13.1,10.6,15.9,,,251,18.1,50,1008.9,
2024-06-12,13.1,8.9,16.9,,,263,13.2,35.2,1016.3,
2024-06-13,13.2,9.3,17.3,,,273,10.3,29.6,1017.5,
2024-06-14,14.6,9.2,18.5,,,155,12.7,33.3,1013.2,
2024-06-15,16.7,12.5,21.1,,,188,14.5,38.9,1007.1,
2024-06-16,17.6,10.4,23,,,200,11.4,33.3,1009.8,
2024-06-17,18.5,13,22.4,,,221,10.4,29.6,1012.4,
2024-06-18,19.5,14,25.1,,,218,8.4,24.1,1014.1,
2024-06-19,16.5,13.5,18.2,,,299,10.9,25.9,1014.1,
2024-06-20,16.8,10.1,22.6,,,268,8.1,20.4,1021.3,
2024-06-21,21,15,27.3,,,127,10.7,25.9,1013.1,
